# TYPO3 changelog index — GENERATED, do not edit by hand.
# grep-only: never read this file as a whole.
# source: local:14.3.x
# columns: number	type	version	title	tags	symbols	migration-gist	note	source	path
# note column: 'note' means notes/{number}.md exists and takes precedence.
82855	Feature	13.0	Update Metadata of online media assets	Backend FAL ext:filelist		It's now possible to reload the Metadata of an online media asset using the new Reload Metadata action.	-	local:14.3.x	13.0/Feature-82855-UpdateMetadataOfOnlineMediaAssets.rst
87889	Deprecation	13.0	TYPO3 backend entry point script deprecated	Backend NotScanned ext:backend	$GLOBALS['TYPO3_CONF_VARS']['BE']['entryPoint']	There is a silent update in place which automatically updates the webserver configuration file when accessing the install tool, at least for Apache and Microsoft IIS webservers.	-	local:14.3.x	13.0/Deprecation-87889-TYPO3BackendEntrypointScriptDeprecated.rst
87889	Feature	13.0	Configurable TYPO3 backend URL	Backend ext:backend	$GLOBALS['TYPO3_CONF_VARS']['BE']['entryPoint']	The TYPO3 backend route path is made configurable in order to protected against application admin interface infrastructure enumeration (`WSTG-CONF-05`_).	-	local:14.3.x	13.0/Feature-87889-ConfigurableTYPO3BackendURL.rst
88537	Feature	13.0	WebP image format support for Image Processing	FAL Fluid Frontend LocalConfiguration ext:core	$GLOBALS['TYPO3_CONF_VARS']['GFX']['imagefile_ext'] $GLOBALS['TYPO3_CONF_VARS']['GFX']['webp_quality']	By default, WebP images can now be generated, as TYPO3's configuration setting $GLOBALS['TYPO3_CONF_VARS']['GFX']['imagefile_ext'] is now extended with "webp".	-	local:14.3.x	13.0/Feature-88537-WebPImageFormatSupportForImageProcessing.rst
88817	Feature	13.0	Make autocomplete selectable in EXT:form backend	Backend YAML ext:form		Editors can now select the autocomplete input purpose when editing forms.	-	local:14.3.x	13.0/Feature-88817-MakeAutocompleteSelectableInTheBackend.rst
94501	Feature	13.0	FAL support for FlexFormProcessor	Frontend FlexForm TypoScript ext:frontend	FlexFormProcessor foreign_match_fields FilesProcessor	FAL references within a FlexForm can now be resolved for the direct usage in Fluid templates. This makes resolving the file references by using additional data processors obsolete.	-	local:14.3.x	13.0/Feature-94501-FALSupportForFlexFormProcessor.rst
95808	Feature	13.0	Enable item groups from foreign tables	Backend TCA ext:backend	foreign_table_item_group string itemGroups group	Using the new foreign_table_item_group TCA config option, it's now possible to use the items group feature even for items from foreign tables.	-	local:14.3.x	13.0/Feature-95808-EnableItemGroupsFromForeignTables.rst
97330	Breaking	13.0	FormEngine element classes must create label or legend	Backend NotScanned ext:backend	FormEngine NodeFactory $GLOBALS['TYPO3_CONF_VARS']['SYS']['formEngine'] nodeRegistry nodeResolver AbstractFormElement renderLabel() wrapWithFieldsetAndLegend()	Custom elements must take care of creating a or tag on their own: If the element creates an , or tag, the should have a for attribute that points to a field having an id attribute.	-	local:14.3.x	13.0/Breaking-97330-FormEngineElementClassesMustCreateLabelOrLegend.rst
97664	Breaking	13.0	FormPersistenceManagerInterface modified	PHP-API NotScanned ext:form	FormPersistenceManagerInterface hasForms()	Add the new method to your extension's implementation of this interface, which also makes it compatible with TYPO3 v12 and TYPO3 v13 at the same time.	-	local:14.3.x	13.0/Breaking-97664-FormPersistenceManagerInterfaceModifed.rst
97664	Feature	13.0	Add search functionality to form manager	Backend ext:form		It's now possible to search for a form definition inside the form manager backend module.	-	local:14.3.x	13.0/Feature-97664-AddSearchFunctionalityToFormManager.rst
99165	Feature	13.0	Add "Edit Metadata" button to element information view	Backend ext:backend		It's now possible to edit a file's Metadata directly in the element information view, which improves the UX (User Experience) as the context is not lost.	-	local:14.3.x	13.0/Feature-99165-AddEditButtonToElementInformation.rst
99323	Breaking	13.0	Removed hook for modifying records after fetching content	PHP-API FullyScanned ext:frontend	$GLOBALS['TYPO3_CONF_VARS']['SC_OPTIONS']['tslib/class.tslib_content_content.php']['modifyDBRow'] ModifyRecordsAfterFetchingContentEvent	The hook is removed without deprecation in order to allow extensions to work with TYPO3 v12 (using the hook) and v13+ (using the new event) when implementing the event as well without any further depr…	-	local:14.3.x	13.0/Breaking-99323-RemovedHookForModifyingRecordsAfterFetchingContent.rst
99323	Feature	13.0	PSR-14 event for modifying records after fetching content	PHP-API ext:frontend	ModifyRecordsAfterFetchingContentEvent $GLOBALS['TYPO3_CONF_VARS']['SC_OPTIONS']['tslib/class.tslib_content_content.php']['modifyDBRow'] getRecords() getFinalContent() getSlide() getSlideCollect() getSlideCollectReverse() getSlideCollectFuzzy() getConfiguration() setRecords() setFinalContent() setSlide() setSlideCollect() setSlideCollectReverse() setSlideCollectFuzzy() setConfiguration() #[AsEventListener]	Using the new PSR-14 event, it's now possible to modify the records fetched by the "Content" ContentObject, before they are being further processed, or even skip TYPO3's default processing of records…	-	local:14.3.x	13.0/Feature-99323-AddModifyRecordsAfterFetchingContentEvent.rst
99485	Feature	13.0	Show the redirect integrity status	Backend ext:redirects	ModifyRedirectManagementControllerViewDataEvent setIntegrityStatusCodes() getIntegrityStatusCodes()	In the redirect module, the conflicting redirects are now marked. In addition, you can now filter for conflicting redirects.	-	local:14.3.x	13.0/Feature-99485-ShowTheRedirectIntegrityStatus.rst
99807	Breaking	13.0	Relocated ModifyUrlForCanonicalTagEvent	PHP-API NotScanned ext:seo	ModifyUrlForCanonicalTagEvent getUrl() string getCanonicalGenerationDisabledException()	Adjust your listeners by respecting the new execution order. Therefore, the event contains the new getCanonicalGenerationDisabledException() method, which can be used to determine whether generation i…	-	local:14.3.x	13.0/Breaking-99807-RelocatedModifyUrlForCanonicalTagEvent.rst
99807	Feature	13.0	Improve ModifyUrlForCanonicalTagEvent	PHP-API ext:seo	ModifyUrlForCanonicalTagEvent no_index CanonicalGenerationDisabledException CanonicalGenerator getCanonicalGenerationDisabledException() null	By relocating and extending the ModifyUrlForCanonicalTagEvent, listeners are now able to fully manipulate the canonical tag generation, even if the generation is disabled and after the standard functi…	-	local:14.3.x	13.0/Feature-99807-ImproveModifyUrlForCanonicalTagEvent.rst
99898	Breaking	13.0	Continuous array keys from GeneralUtility::intExplode	PHP-API NotScanned ext:core	intExplode() $removeEmptyEntries true	Adapt your code to not rely on gaps in the keys anymore.	-	local:14.3.x	13.0/Breaking-99898-ContinuousArrayKeysForIntExplode.rst
99937	Breaking	13.0	Utilize BIGINT database column type for datetime TCA	TCA ext:core NotScanned	'type' => 'datetime' datetime	All extensions that previously declared datetime columns should remove the column definition from ext_tables.sql to utilize the type bigint signed.	-	local:14.3.x	13.0/Breaking-99937-DateTimeTCAFieldsToBigint.rst
100224	Breaking	13.0	MfaViewType migrated to backed enum	Backend PHP-API NotScanned ext:core	MfaViewType equals() MfaProviderInterface $type handleRequest() string value SETUP->value $type->value tryFrom('setup')	To access the string representation of a MfaViewType, use the corresponding value property, e.g. SETUP->value or on a variable, use $type->value. Replace class instantiation by tryFrom('setup').	-	local:14.3.x	13.0/Breaking-100224-MfaViewTypeMigratedToBackedEnum.rst
100229	Breaking	13.0	Convert JSConfirmation to a BitSet	Backend NotScanned ext:backend ext:core ext:filelist	JSConfirmation JsConfirmation BitSet Enumeration matches() setValue() isValid() compare() BackendUserAuthentication->jsConfirmation() int method()	Replace existing usages of JSConfirmation with JsConfirmation.	-	local:14.3.x	13.0/Breaking-100229-ConvertJSConfirmationToBitSet.rst
100268	Feature	13.0	Provide full userdata in password recovery email	Frontend ext:felogin	userData FluidEmail	It is now possible to use the {userData} variable in the Fluid template of the password recovery to access data from the affected frontend user.	-	local:14.3.x	13.0/Feature-100268-ProvideFullUserdataInPasswordRecoveryEmail.rst
100926	Feature	13.0	Introduce `RotatingFileWriter` for log rotation	LocalConfiguration ext:core	RotatingFileWriter FileWriter daily DAILY weekly WEEKLY monthly MONTHLY yearly YEARLY Interval maxFiles	When configured, log files may be rotated before writing a new log entry, depending on the configured `interval`, where DAILY is the default.	-	local:14.3.x	13.0/Feature-100926-IntroduceRotatingFileWriterforLogRotation.rst
100963	Breaking	13.0	Deprecated functionality removed	Backend CLI Database FlexForm Fluid Frontend JavaScript LocalConfiguration PHP-API RTE TCA TSConfig TypoScript PartiallyScanned	ConditionMatcher SilentSiteLanguageFlagMigration HelpButton BrowseTreeView ElementBrowserPageTreeView PageTsConfigLoader PageTsConfig PageTsConfigParser AbstractConditionMatcher InvalidTypoScriptConditionException RequireJsController BackendWorkspaceRestriction FrontendWorkspaceRestriction MissingTsfeException DeprecatingRequestWrapper MagicImageService UserFileInlineLabelService UserFileMountService TypoScriptParser TemplateService ResourceUtility Factory CshViewHelper AbstractPlugin final Driver InlineElementHookInterface RecordListGetTableHookInterface NewContentElementWizardHookInterface ConditionMatcherInterface +299-more-see-rst	Using above removed functionality will most likely raise PHP fatal level errors, may change website output or crashes browser JavaScript.	-	local:14.3.x	13.0/Breaking-100963-DeprecatedFunctionalityRemoved.rst
100966	Breaking	13.0	Remove jquery-ui	Backend JavaScript NotScanned ext:core		TYPO3 does not provide any substitute. In TYPO3 the `draggable` and `resizable` features of `jquery-ui` have been reimplemented in the new custom element .	-	local:14.3.x	13.0/Breaking-100966-RemoveJquery-ui.rst
101113	Feature	13.0	Show if redirects were checked in report	Backend ext:redirects NotScanned	CheckIntegrityCommand	* An additional informational message will appear in the system report, if `checkintegrity` was not run within the last 24 hours * This can be configured in the extension configuration of EXT:redirect…	-	local:14.3.x	13.0/Feature-101113-ShowIfRedirectsWereCheckedInReport.rst
101129	Breaking	13.0	Convert Action to native backed enum	Backend NotScanned ext:linkvalidator ext:recycler ext:reports ext:scheduler	Action Scheduler SchedulerManagementAction ADD EDIT LIST new Action('a-string') tryFrom($aString)	Include the enum SchedulerManagementAction from namespace Scheduler as a replacement for Action.	-	local:14.3.x	13.0/Breaking-101129-ConvertActionToNativeEnum.rst
101131	Breaking	13.0	Convert LoginType to native backed enum	Backend Authentication NotScanned ext:core	LoginType LOGIN LOGOUT LOGIN->value LOGOUT->value tryFrom	Use the new syntax: LOGIN->value LOGOUT->value Alternatively, use the enum method tryFrom to convert a value to an enum.	-	local:14.3.x	13.0/Breaking-101131-ConvertLoginTypeToNativeEnum.rst
101133	Breaking	13.0	IconFactory->getIcon() signature change	Backend NotScanned ext:core	getIcon() IconFactory IconState IconState|IconState $state = null	Adapt the 4th parameter of getIcon() to be of type IconState|IconState $state = null In addition, adapt the code in the body of the method.	-	local:14.3.x	13.0/Breaking-101133-IconFactorySignatureChange.rst
101133	Breaking	13.0	Icon->state changed type	Backend NotScanned ext:core	Icon->state IconState Icon->getState() Icon->setState()	Adapt your code to handle the native enum IconState.	-	local:14.3.x	13.0/Breaking-101133-IconStateChangedType.rst
101133	Deprecation	13.0	IconState class	Backend NotScanned ext:core	IconState IconFactory->getIcon()	The class IconState will be removed in TYPO3 v14.0. Passing an instance of this class to IconFactory->getIcon() will lead to a deprecation level log entry.	-	local:14.3.x	13.0/Deprecation-101133-IconStateClass.rst
101133	Feature	13.0	Native enum IconState	Backend Frontend ext:core	IconState Icon IconFactory	The new IconState native backed enum is meant to be a drop-in replacement for the former IconState class.	-	local:14.3.x	13.0/Feature-101133-IconStateEnum.rst
101137	Breaking	13.0	Page Doktype "Recycler" removed	Backend PHP-API PartiallyScanned ext:core	DOKTYPE_RECYCLER	A migration is in place, it is recommended to use the Recycler module with soft-deleting records.	-	local:14.3.x	13.0/Breaking-101137-PageDoktypeRecyclerRemoved.rst
101143	Breaking	13.0	Strict typing in LinktypeInterface	Backend NotScanned ext:linkvalidator	LinktypeInterface	Ensure that classes that implement LinktypeInterface have the following signatures:	-	local:14.3.x	13.0/Breaking-101143-StrictTypingLinktypeInterface.rst
101149	Breaking	13.0	Mark PageTsBackendLayoutDataProvider as final	Backend NotScanned ext:backend	PageTsBackendLayoutDataProvider	Instead of extending the data provider, it is recommended to register a custom DataProvider for backend layouts, which can already be used since TYPO3 v7.	-	local:14.3.x	13.0/Breaking-101149-MarkPageTsBackendLayoutDataProviderAsFinal.rst
101151	Deprecation	13.0	DuplicationBehavior class	Backend FullyScanned ext:backend ext:core ext:filelist ext:impexp	DuplicationBehavior	The class DuplicationBehavior will be removed in TYPO3 v14.0.	-	local:14.3.x	13.0/Deprecation-101151-DuplicationBehaviorClass.rst
101151	Feature	13.0	Native enum DuplicationBehavior	Backend NotScanned ext:backend ext:core ext:filelist ext:impexp	DuplicationBehavior FileController AbstractFile FileInterface FileReference Folder AbstractOnlineMediaHelper ExtendedFileUtility FileListController ImportController	The new DuplicationBehavior native backed enum is meant to be a drop-in replacement for the former DuplicationBehavior class.	-	local:14.3.x	13.0/Feature-101151-DuplicationBehavior.rst
101163	Deprecation	13.0	Abstract class Enumeration	Backend FullyScanned ext:core	Enumeration	Class definition:	-	local:14.3.x	13.0/Deprecation-101163-Enumeration.rst
101174	Deprecation	13.0	InformationStatus class	Backend PartiallyScanned ext:backend	InformationStatus string $status addSystemInformation() addSystemMessage() SystemInformationToolbarItem E_USER_DEPRECATED	Usage of the class InformationStatus, its constants or methods will trigger a PHP E_USER_DEPRECATED error. The class will be removed in TYPO3 v14.0.	-	local:14.3.x	13.0/Deprecation-101174-InformationStatusClass.rst
101174	Feature	13.0	Native enum InformationStatus	Backend PHP-API ext:backend	InformationStatus NOTICE INFO OK WARNING ERROR isGreaterThan() STATUS_ __default	It's now possible to use the native InformationStatus enum to describe the severity of the system information for the backend toolbar.	-	local:14.3.x	13.0/Feature-101174-InformationStatus.rst
101175	Breaking	13.0	Convert VersionState to native backed enum	Backend NotScanned ext:backend ext:core ext:frontend ext:workspaces	VersionState equals() DEFAULT_STATE NEW_PLACEHOLDER DELETE_PLACEHOLDER MOVE_POINTER *->value) cast() cast()->equals() DEFAULT_STATE->value NEW_PLACEHOLDER->value DELETE_PLACEHOLDER->value MOVE_POINTER->value tryFrom($row['t3ver_state']) tryFrom(...)	Use the new syntax for getting the values: - DEFAULT_STATE->value - NEW_PLACEHOLDER->value - DELETE_PLACEHOLDER->value - MOVE_POINTER->value Class instantiation should be replaced by: - tryFrom($row['…	-	local:14.3.x	13.0/Breaking-101175-ConvertVersionStateToNativeEnum.rst
101175	Deprecation	13.0	Methods in VersionState	Backend NotScanned	cast() VersionState->equals()	Before:	-	local:14.3.x	13.0/Deprecation-101175-VersionState.rst
101186	Breaking	13.0	Strict typing in UnableToLinkException	Backend NotScanned ext:fluid ext:frontend ext:redirects	UnableToLinkException $linkText string	Ensure that the class constructor is called properly, according to the changed signature:	-	local:14.3.x	13.0/Breaking-101186-StrictTypingUnableToLinkException.rst
101192	Breaking	13.0	Remove fallback for CKEditor removePlugins	Backend NotScanned RTE ext:rte_ckeditor		Adjust your CKEditor configuration and pass removePlugins as array.	-	local:14.3.x	13.0/Breaking-101192-RemoveFallbackRemovePlugins.rst
101266	Breaking	13.0	Remove RequireJS	Backend JavaScript PHP-API PartiallyScanned ext:core	'requireJsModules' PageRenderer->loadRequireJs() PageRenderer->loadRequireJsModule() Configuration/JavaScriptModules.php PageRenderer->loadJavaScriptModule()	Migrate your JavaScript from the AMD module format to native ES6 modules and register your configuration in Configuration/JavaScriptModules.php, also see 96510 and t3coreapi:backend-javascript-es6 for…	-	local:14.3.x	13.0/Breaking-101266-RemoveRequireJS.rst
101281	Breaking	13.0	Introduce type declarations in ResourceInterface	FAL PHP-API NotScanned ext:core	ResourceInterface Folder FolderInterface FileReference AbstractFile FileInterface File ProcessedFile getIdentifier() getName() getStorage() getHashedIdentifier() getParentFolder()	Use the same return type declarations as ResourceInterface does.	-	local:14.3.x	13.0/Breaking-101281-IntroduceTypeDeclarationsInResourceInterface.rst
101291	Breaking	13.0	Introduce capabilities bit set	FAL PHP-API NotScanned ext:core	ResourceStorage LocalDriver AbstractDriver BitSet Capabilities getCapabilities() mergeConfigurationCapabilities() CAPABILITY_BROWSABLE CAPABILITY_PUBLIC CAPABILITY_WRITABLE CAPABILITY_HIERARCHICAL_IDENTIFIERS int $capabilities ResourceStorageInterface DriverInterface __toInt()	When using mentioned methods that formerly returned the bit value as integer or expected the bit value as integer parameter need to use the Capabilities class instead.	-	local:14.3.x	13.0/Breaking-101291-IntroduceCapabilitiesBitSet.rst
101294	Breaking	13.0	Introduce type declarations in FileInterface	FAL PHP-API NotScanned ext:core	FileInterface AbstractFile File FileReference ProcessedFile	Return and param type declarations have to be synced with the ones of the interface.	-	local:14.3.x	13.0/Breaking-101294-IntroduceTypeDeclarationsInFileInterface.rst
101305	Breaking	13.0	Introduce type declarations for some methods in GeneralUtility	PHP-API NotScanned ext:core	GeneralUtility addInstance() array2xml() callUserFunction() cmpFQDN() cmpIP() cmpIPv4() cmpIPv6() copyDirectory() createDirectoryPath() createVersionNumberedFilename() explodeUrl2Array() fixPermissions() flushInternalRuntimeCaches() getAllFilesAndFoldersInPath() getBytesFromSizeMeasurement() getClassName() getFileAbsFileName() getFilesInDir() getIndpEnv() getInstances() getLogger() getSingletonInstances() getUrl() get_dirs() get_tag_attributes() implodeArrayForUrl() implodeAttributes() intExplode() isAllowedAbsPath() +41-more-see-rst	Make sure to pass parameters of the required types to the mentioned methods.	-	local:14.3.x	13.0/Breaking-101305-IntroduceTypeDeclarationsInGeneralUtilityMethods.rst
101309	Breaking	13.0	Introduce type declarations in DriverInterface	FAL PHP-API NotScanned ext:core	DriverInterface sanitizeFileName() AbstractDriver AbstractHierarchicalFilesystemDriver LocalDriver $charset	As for the type declarations: Add the same param and return type declarations the interface does.	-	local:14.3.x	13.0/Breaking-101309-IntroduceTypeDeclarationsInDriverInterface.rst
101311	Breaking	13.0	Make the parameter for GeneralUtility::sanitizeLocalUrl required	PHP-API FullyScanned ext:core	sanitizeLocalUrl()	Make sure to pass an argument to sanitizeLocalUrl().	-	local:14.3.x	13.0/Breaking-101311-MakeParameterForGeneralUtilitySanitizeLocalUrlRequired.rst
101327	Breaking	13.0	Harden FileInterface::getSize()	FAL PHP-API NotScanned ext:core	getSize() null 0 FileInterface	Adjust the return type and possible null checks.	-	local:14.3.x	13.0/Breaking-101327-HardenFileInterfacegetSize.rst
101396	Feature	13.0	Let Extbase handle native enums	PHP-API ext:extbase	Enumeration	To implement enums, it is no longer necessary to extend the now deprecated TYPO3 Core class Enumeration.	-	local:14.3.x	13.0/Feature-101396-LetExtbaseHandleNativeEnums.rst
101398	Breaking	13.0	Remove leftover $fetchAllFields in RelationHandler	PHP-API FullyScanned ext:core	RelationHandler $fetchAllFields setFetchAllFields() RelationHandler->setFetchAllFields()	Remove the affected line of code. This method has had no effect since TYPO3 v11.5.0.	-	local:14.3.x	13.0/Breaking-101398-FetchAllFieldsRelationHandler.rst
